Start time: 1375454841.41, Players: 1
End time: 1375455076.66, Score: 3400
Player,Time,HR
Black,2013-08-02 10:47:37.152001,75.0431442261
Black,2013-08-02 10:47:37.243528,71.1214828491
Black,2013-08-02 10:47:37.337470,67.3997879028
Black,2013-08-02 10:47:37.420674,64.2715835571
Black,2013-08-02 10:47:37.509693,61.350227356
Black,2013-08-02 10:47:37.600887,58.7395095825
Black,2013-08-02 10:47:37.684772,56.2779426575
Black,2013-08-02 10:47:37.778930,53.937286377
Black,2013-08-02 10:47:37.882000,51.6665458679
Black,2013-08-02 10:47:37.974186,74.486907959
Black,2013-08-02 10:47:38.075638,71.5514297485
Black,2013-08-02 10:47:38.169434,68.9282226562
Black,2013-08-02 10:47:38.255624,66.5817642212
Black,2013-08-02 10:47:38.348411,64.4796829224
Black,2013-08-02 10:47:38.442905,83.1671142578
Black,2013-08-02 10:47:38.537667,80.4896469116
Black,2013-08-02 10:47:38.634013,77.9865951538
Black,2013-08-02 10:47:38.724613,75.7312774658
Black,2013-08-02 10:47:38.831946,73.5255126953
Black,2013-08-02 10:47:38.925992,71.3271179199
Black,2013-08-02 10:47:39.021583,69.3109207153
Black,2013-08-02 10:47:39.116597,67.4711303711
Black,2013-08-02 10:47:39.201263,65.8105773926
Black,2013-08-02 10:47:39.289847,64.2318649292
Black,2013-08-02 10:47:39.378420,62.7528572083
Black,2013-08-02 10:47:39.469704,61.3507461548
Black,2013-08-02 10:47:39.555297,59.9921417236
Black,2013-08-02 10:47:39.648490,58.6618347168
Black,2013-08-02 10:47:39.743163,71.6756439209
Black,2013-08-02 10:47:39.837364,70.0959625244
Black,2013-08-02 10:47:39.934912,68.5070724487
Black,2013-08-02 10:47:40.021797,67.1573638916
Black,2013-08-02 10:47:40.112800,65.8065414429
Black,2013-08-02 10:47:40.212868,64.4624786377
Black,2013-08-02 10:47:40.302623,63.2081680298
Black,2013-08-02 10:47:40.401602,61.8989105225
Black,2013-08-02 10:47:40.493517,60.742023468
Black,2013-08-02 10:47:40.584833,59.6520843506
Black,2013-08-02 10:47:40.677818,58.5958213806
Black,2013-08-02 10:47:40.776132,57.5000228882
Black,2013-08-02 10:47:40.872125,67.7566986084
Black,2013-08-02 10:47:40.968632,66.5471725464
Black,2013-08-02 10:47:41.064158,65.4114303589
Black,2013-08-02 10:47:41.151942,64.3482208252
Black,2013-08-02 10:47:41.246404,63.2578964233
Black,2013-08-02 10:47:41.337537,62.2707748413
Black,2013-08-02 10:47:41.428302,61.3105239868
Black,2013-08-02 10:47:41.518224,60.3697853088
Black,2013-08-02 10:47:41.613392,59.4758110046
Black,2013-08-02 10:47:41.705709,58.5578651428
Black,2013-08-02 10:47:41.796634,67.2946853638
Black,2013-08-02 10:47:41.889715,66.314491272
Black,2013-08-02 10:47:41.984877,65.3746948242
Black,2013-08-02 10:47:42.078311,64.3839187622
Black,2013-08-02 10:47:42.171111,63.4939613342
Black,2013-08-02 10:47:42.264791,62.6211433411
Black,2013-08-02 10:47:42.369603,61.7563400269
Black,2013-08-02 10:47:42.456459,60.8856163025
Black,2013-08-02 10:47:42.554741,58.3064880371
Black,2013-08-02 10:47:42.654390,55.6170654297
Black,2013-08-02 10:47:42.755591,53.1193237305
Black,2013-08-02 10:47:42.849386,50.9997444153
Black,2013-08-02 10:47:42.941843,73.6158370972
Black,2013-08-02 10:47:43.026371,118.364295959
Black,2013-08-02 10:47:43.119228,91.345161438
Black,2013-08-02 10:47:43.212799,88.3071746826
Black,2013-08-02 10:47:43.310430,85.4815292358
Black,2013-08-02 10:47:43.395050,82.7267837524
Black,2013-08-02 10:47:43.489990,80.1806488037
Black,2013-08-02 10:47:43.587810,77.5996627808
Black,2013-08-02 10:47:43.684201,56.4941978455
Black,2013-08-02 10:47:43.773966,54.8727455139
Black,2013-08-02 10:47:43.863773,53.3978881836
Black,2013-08-02 10:47:43.950330,52.0629501343
Black,2013-08-02 10:47:44.040106,84.5707397461
Black,2013-08-02 10:47:44.132360,82.4467315674
Black,2013-08-02 10:47:44.222957,80.5046920776
Black,2013-08-02 10:47:44.314296,78.4813766479
Black,2013-08-02 10:47:44.411007,76.5886993408
Black,2013-08-02 10:47:44.500389,89.888381958
Black,2013-08-02 10:47:44.587323,87.9256362915
Black,2013-08-02 10:47:44.681125,85.9800872803
Black,2013-08-02 10:47:44.777673,84.1496658325
Black,2013-08-02 10:47:44.868749,82.2949905396
Black,2013-08-02 10:47:44.961404,80.5701675415
Black,2013-08-02 10:47:45.047544,79.0217285156
Black,2013-08-02 10:47:45.136701,77.5390319824
Black,2013-08-02 10:47:45.232746,76.0098724365
Black,2013-08-02 10:47:45.323737,74.5507965088
Black,2013-08-02 10:47:45.412106,85.3857574463
Black,2013-08-02 10:47:45.510088,83.7529983521
Black,2013-08-02 10:47:45.605392,82.1707000732
Black,2013-08-02 10:47:45.702576,80.682762146
Black,2013-08-02 10:47:45.797616,79.2305450439
Black,2013-08-02 10:47:45.887531,77.9020004272
Black,2013-08-02 10:47:45.979826,76.5895614624
Black,2013-08-02 10:47:46.080485,75.2318878174
Black,2013-08-02 10:47:46.181942,73.8924865723
Black,2013-08-02 10:47:46.275557,72.6523971558
Black,2013-08-02 10:47:46.366196,81.740234375
Black,2013-08-02 10:47:46.455288,80.4981079102
Black,2013-08-02 10:47:46.542080,79.360710144
Black,2013-08-02 10:47:46.633068,78.1796798706
Black,2013-08-02 10:47:46.724244,77.0492324829
Black,2013-08-02 10:47:46.819053,75.9092941284
Black,2013-08-02 10:47:46.909852,74.8040466309
Black,2013-08-02 10:47:47.004038,73.7468719482
Black,2013-08-02 10:47:47.097295,72.6773910522
Black,2013-08-02 10:47:47.188790,80.6319503784
Black,2013-08-02 10:47:47.282938,79.5233917236
Black,2013-08-02 10:47:47.379687,78.4506072998
Black,2013-08-02 10:47:47.472503,77.3587188721
Black,2013-08-02 10:47:47.563213,76.3992080688
Black,2013-08-02 10:47:47.654944,75.4598770142
Black,2013-08-02 10:47:47.749816,74.4823303223
Black,2013-08-02 10:47:47.837500,73.5537567139
Black,2013-08-02 10:47:47.929526,72.6174316406
Black,2013-08-02 10:47:48.018517,79.7447433472
Black,2013-08-02 10:47:48.112403,78.7992477417
Black,2013-08-02 10:47:48.198000,77.8608093262
Black,2013-08-02 10:47:48.284748,77.0199966431
Black,2013-08-02 10:47:48.373377,76.1560211182
Black,2013-08-02 10:47:48.459902,75.3198013306
Black,2013-08-02 10:47:48.552255,74.4537887573
Black,2013-08-02 10:47:48.644175,73.6249465942
Black,2013-08-02 10:47:48.741301,72.7427139282
Black,2013-08-02 10:47:48.844913,79.1502151489
Black,2013-08-02 10:47:48.935252,78.2007598877
Black,2013-08-02 10:47:49.028777,77.3485641479
Black,2013-08-02 10:47:49.125789,76.4904022217
Black,2013-08-02 10:47:49.215065,75.6898803711
Black,2013-08-02 10:47:49.309413,74.8771820068
Black,2013-08-02 10:47:49.402362,74.1022949219
Black,2013-08-02 10:47:49.499786,73.3119659424
Black,2013-08-02 10:47:49.597934,79.1344680786
Black,2013-08-02 10:47:49.691314,78.2971191406
Black,2013-08-02 10:47:49.782658,77.5427856445
Black,2013-08-02 10:47:49.867249,76.8252487183
Black,2013-08-02 10:47:49.950023,76.1346664429
Black,2013-08-02 10:47:50.043019,75.4026870728
Black,2013-08-02 10:47:50.134779,74.6830291748
Black,2013-08-02 10:47:50.228336,73.9640274048
Black,2013-08-02 10:47:50.321733,73.26197052
Black,2013-08-02 10:47:50.416967,78.5972824097
Black,2013-08-02 10:47:50.511988,77.8762054443
Black,2013-08-02 10:47:50.603900,77.1880569458
Black,2013-08-02 10:47:50.687121,76.5091705322
Black,2013-08-02 10:47:50.775014,75.8546905518
Black,2013-08-02 10:47:50.868715,75.2007446289
Black,2013-08-02 10:47:50.952857,74.5844421387
Black,2013-08-02 10:47:51.038905,73.9638595581
Black,2013-08-02 10:47:51.130993,73.3269424438
